Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,138,20393.0,1822.0,1380.0,2733.0,313.0,1684.0,3030.0,9449.0,3035.0,26381.0,109299.0
,,,,,,,,139,19380.0,1725.0,1306.0,2588.0,296.0,1594.0,2865.0,8904.0,2853.0,24949.0,104069.0
,,,,,,,,140,17754.0,1614.0,1223.0,2422.0,277.0,1493.0,2678.0,8232.0,2624.0,23046.0,96001.0
,,,,,,,,141,17132.0,1587.0,1202.0,2381.0,272.0,1468.0,2631.0,8048.0,2557.0,22730.0,91647.0
,,,,,,,,142,17002.0,1553.0,1176.0,2330.0,266.0,1437.0,2572.0,7810.0,2473.0,21898.0,87990.0
,,,,,,,,143,16028.0,1451.0,1099.0,2176.0,249.0,1343.0,2401.0,7195.0,2272.0,20079.0,80723.0
,,,,,,,,144,14451.0,1338.0,1013.0,2006.0,229.0,1239.0,2212.0,6530.0,2055.0,18250.0,73166.0
,,,,,,,,145,12856.0,1238.0,937.0,1856.0,212.0,1147.0,2044.0,5932.0,1856.0,16583.0,66875.0
,,,,,,,,146,11760.0,1176.0,890.0,1763.0,201.0,1090.0,1939.0,5531.0,1723.0,15510.0,62409.0
,,,,,,,,147,11062.0,1128.0,854.0,1692.0,193.0,1046.0,1859.0,5247.0,1629.0,14821.0,59639.0
,,,,,,,,148,10700.0,1104.0,836.0,1657.0,189.0,1024.0,1819.0,5108.0,1584.0,14520.0,58214.0
,,,,,,,,149,10496.0,1101.0,833.0,1650.0,188.0,1020.0,1812.0,5081.0,1573.0,14498.0,58150.0
,,,,,,,,150,10761.0,1148.0,870.0,1723.0,197.0,1065.0,1892.0,5327.0,1652.0,15347.0,60886.0
,,,,,,,,151,11676.0,1239.0,938.0,1858.0,212.0,1148.0,2045.0,5869.0,1834.0,16761.0,65429.0
,,,,,,,,152,13228.0,1378.0,1043.0,2067.0,237.0,1277.0,2278.0,6659.0,2094.0,18747.0,71208.0
,,,,,,,,153,14754.0,1506.0,1141.0,2259.0,259.0,1395.0,2490.0,7323.0,2306.0,20480.0,77148.0
,,,,,,,,154,15813.0,1609.0,1219.0,2414.0,276.0,1490.0,2662.0,7858.0,2477.0,22031.0,82671.0
,,,,,,,,155,16976.0,1709.0,1293.0,2563.0,293.0,1582.0,2828.0,8420.0,2663.0,23871.0,88495.0
,,,,,,,,156,18216.0,1793.0,1358.0,2690.0,307.0,1660.0,2970.0,8892.0,2818.0,25641.0,94518.0
,,,,,,,,157,19165.0,1845.0,1397.0,2767.0,317.0,1707.0,3057.0,9201.0,2922.0,27009.0,99544.0
,,,,,,,,158,19696.0,1871.0,1416.0,2805.0,321.0,1730.0,3101.0,9369.0,2980.0,28052.0,103276.0
,,,,,,,,159,20414.0,1888.0,1429.0,2831.0,325.0,1746.0,3131.0,9512.0,3031.0,28958.0,106287.0
,,,,,,,,160,21369.0,1974.0,1495.0,2961.0,339.0,1825.0,3277.0,10051.0,3213.0,30202.0,109488.0
